abixen-platform;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
abixen-platform;javax.crypto.Cipher;insecure/condition/key
abixen-platform;javax.crypto.Cipher;insecure/condition/transformation
abixen-platform;javax.crypto.Cipher;insecure/condition/IV
abixen-platform;javax.crypto.Cipher;insecure/condition/transformation
abixen-platform;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
abixen-platform;javax.crypto.Cipher;insecure/condition/key
abixen-platform;javax.crypto.Cipher;insecure/condition/IV
abixen-platform;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
aliyun-oss-java-sdk;java.security.MessageDigest;insecure/condition/transformation
aliyun-oss-java-sdk;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
and-res-guard;java.security.MessageDigest;insecure/condition/transformation
and-res-guard;java.security.MessageDigest;insecure/condition/transformation
app-engine;javax.crypto.Cipher;insecure/condition/transformation
app-engine;javax.crypto.Cipher;insecure/condition/transformation
app-engine;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
app-engine;java.security.MessageDigest;insecure/condition/transformation
aws-sdk-java-v2;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
biglybt-core;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
biglybt-core;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
biglybt-ui;java.security.MessageDigest;insecure/condition/transformation
biglybt-ui;java.security.MessageDigest;insecure/condition/transformation
biglybt-ui;java.security.MessageDigest;insecure/condition/transformation
bt;java.security.MessageDigest;insecure/condition/transformation
bt;java.security.MessageDigest;insecure/condition/transformation
bt;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
dbeaver-core;javax.crypto.Cipher;insecure/condition/transformation
dbeaver-import;javax.crypto.Cipher;insecure/condition/transformation
dbeaver-import;javax.crypto.Cipher;insecure/condition/key
dbeaver-import;javax.crypto.Cipher;insecure/condition/transformation
dbeaver-import;javax.crypto.Cipher;insecure/condition/key
dbeaver-import;java.security.MessageDigest;insecure/condition/transformation
dbeaver-import;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
dble;java.security.MessageDigest;insecure/condition/transformation
dubbo3;java.security.MessageDigest;insecure/condition/transformation
dubbo3;javax.crypto.Cipher;insecure/condition/transformation
everyone-java-blog;javax.crypto.SecretKeyFactory;insecure/condition/transformation
everyone-java-blog;javax.crypto.Cipher;insecure/condition/transformation
everyone-java-blog;javax.crypto.Cipher;insecure/condition/transformation
everyone-java-blog;java.security.MessageDigest;insecure/condition/transformation
fast-boot-weixin;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
fast-boot-weixin;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
fast-boot-weixin;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
fast-boot-weixin;javax.crypto.Cipher;insecure/condition/transformation
fast-boot-weixin;javax.crypto.Cipher;insecure/condition/transformation
fast-boot-weixin;java.security.MessageDigest;insecure/condition/transformation
game-server;javax.crypto.Cipher;insecure/condition/transformation
game-server;java.security.MessageDigest;insecure/condition/transformation
game-server;java.security.MessageDigest;insecure/condition/transformation
game-server;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
ha-bridge;javax.crypto.SecretKeyFactory;insecure/condition/transformation
ha-bridge;javax.crypto.spec.PBEParameterSpec;insecure/condition/iteration_count
ha-bridge;javax.crypto.spec.PBEParameterSpec;insecure/condition/randomization
ha-bridge;javax.crypto.spec.PBEKeySpec;missing/condition/iteration_count
ha-bridge;javax.crypto.SecretKeyFactory;insecure/condition/transformation
ha-bridge;javax.crypto.spec.PBEKeySpec;missing/condition/iteration_count
ha-bridge;javax.crypto.spec.PBEParameterSpec;insecure/condition/iteration_count
ha-bridge;javax.crypto.spec.PBEParameterSpec;insecure/condition/randomization
hsweb-framework;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
ijpay;java.security.MessageDigest;insecure/condition/transformation
ijpay;java.security.Signature;insecure/condition/key
ijpay;java.security.Signature;insecure/condition/transformation
ijpay;java.security.Signature;insecure/condition/key
ijpay;java.security.Signature;insecure/condition/transformation
ijpay;java.security.Signature;insecure/condition/key
ijpay;javax.crypto.Cipher;insecure/condition/key
ijpay;java.security.Signature;insecure/condition/key
instagram4j;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
j360-dubbo-app-all;javax.crypto.Cipher;insecure/condition/transformation
j360-dubbo-app-all;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
j360-dubbo-app-all;javax.crypto.Cipher;insecure/condition/transformation
j360-dubbo-app-all;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
j360-dubbo-app-all;javax.crypto.spec.SecretKeySpec;insecure/condition/randomization
java-telegram-bot-api;javax.crypto.Cipher;insecure/condition/transformation
jeesuite-libs;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
jeesuite-libs;javax.crypto.Cipher;insecure/condition/transformation
jeesuite-libs;javax.crypto.Cipher;insecure/condition/IV
jeesuite-libs;javax.crypto.spec.IvParameterSpec;insecure/condition/randomization
jeesuite-libs;javax.crypto.Cipher;insecure/condition/transformation
jeesuite-libs;javax.crypto.Cipher;insecure/condition/transformation
jeesuite-libs;javax.crypto.Cipher;insecure/condition/transformation
jeesuite-libs;java.security.MessageDigest;insecure/condition/transformation
jeesuite-libs;java.security.MessageDigest;insecure/condition/transformation
job-x;java.security.Signature;insecure/condition/transformation
